N,p,n,k,lam,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
11,0.03308222985286467,2,1,3,0.8061,0.1286,0.06529999999999987,1.625,0.9000088778409092,0.3953062855113636
10,0.03773621580394378,4,1,8,0.6062,0.2631,0.1307,1.0,0.65646484375,0.5827815755208332
10,0.041424466985179,2,0,6,0.0828,0.1419,0.7753,2.975,0.93525390625,0.5190321568080357
12,0.030393048922951464,5,1,6,0.585,0.0878,0.3272,1.0,0.593975830078125,0.6900764465332031
11,0.04370063310032368,3,1,3,0.2334,0.4343,0.3323,1.225,0.6944624467329545,0.5949435147372159
12,0.04861128880301211,3,0,9,0.7483,0.0012,0.2505,1.075,0.9002593994140625,0.49255225771949396
11,0.02668203671300852,4,1,3,0.8428,0.0097,0.1475,1.0,0.7454301313920454,0.5056385387073863
10,0.03375272995394041,2,2,8,0.7196,0.1341,0.1463,3.225,0.9268750000000001,0.44904296875
11,0.015553599036411167,2,1,9,0.2921,0.2066,0.5013,1.025,0.9902188387784092,0.6345890193790584
12,0.048564649063824974,2,0,4,0.7149,0.0095,0.2756,5.275,0.6976806640625001,0.4228759765625
12,0.011604566068414434,4,1,3,0.1289,0.0321,0.839,1.225,0.914385986328125,0.3496246337890625
11,0.03066448710126707,2,0,1,0.1426,0.3679,0.4895,1.25,0.7271262428977273,0.45998168945312495
10,0.028474157412319172,3,0,5,0.2752,0.2092,0.5156,1.3,1.0,0.495
11,0.024219158152633542,4,1,7,0.6033,0.1397,0.2570000000000001,1.0,0.7385919744318181,0.6231534090909089
10,0.03480557892250518,1,0,9,0.9732,0.0178,0.009,6.975,0.656875,0.47625
11,0.02098689377239228,2,2,5,0.816,0.0476,0.1364000000000001,5.5,0.8338068181818183,0.5980113636363636
12,0.013328800665773716,4,0,9,0.4091,0.3333,0.2576,1.5,0.887646484375,0.44267323811848963
10,0.02819652344194328,3,1,8,0.8511,0.0467,0.10220000000000011,1.05,0.94744140625,0.77643310546875
10,0.010328490717012632,4,1,2,0.9521,0.015,0.0329,1.0,0.5429199218749999,0.6051188151041667
11,0.017205405148657857,2,2,9,0.6715,0.2544,0.0741,3.325,0.6003373579545456,0.5086847478693182
11,0.046237254534901524,3,1,7,0.5926,0.0927,0.3147,1.0,0.8566938920454547,0.5092108339251894
11,0.02959384285822042,2,0,8,0.503,0.0175,0.4795,2.75,0.4047119140625,0.4880763198390152
11,0.03377902563651776,3,0,6,0.2014,0.7349,0.0637,1.2,0.602554598721591,0.6778233119419643
11,0.024855825025087458,3,2,1,0.5456,0.195,0.2594,1.0,1.0,0.45
12,0.030048360296314372,3,1,4,0.1875,0.0384,0.7741,1.05,0.9863606770833332,0.5173993428548176
11,0.02788843120052286,1,2,9,0.3009,0.0289,0.6702,6.9,0.7894886363636363,0.5936333198051947
11,0.04195833440152678,4,1,7,0.5387,0.3675,0.0938000000000001,1.0,0.6798184481534092,0.4545454545454545
10,0.03607945563198143,2,1,2,0.5984,0.0959,0.3057,4.575,0.68234375,0.49020833333333325
11,0.01523499565564113,3,0,9,0.7552,0.1901,0.0547,1.4,0.9372869318181817,0.5001057017933237
11,0.013984821396697652,4,1,2,0.5713,0.1365,0.2922,1.0,0.9263671875,0.5196303858901515
10,0.012597236554183848,2,0,8,0.2365,0.4365,0.327,1.125,0.9546777343749999,0.5068582589285713
11,0.03000841227141076,2,1,6,0.1843,0.4835,0.3322,4.425,0.8753551136363636,0.5909090909090909
10,0.0472150108287005,4,1,6,0.6024,0.0839,0.3137,1.0,0.5526806640624999,0.5153813476562499
10,0.031775829177889375,1,0,5,0.9429,0.0452,0.011899999999999989,3.5,0.5605859375,0.46099609375000006
11,0.02186513712552361,4,2,9,0.5244,0.0282,0.4474,1.0,0.832941228693182,0.43851207386363633
12,0.027021249128106502,3,1,5,0.7658,0.2066,0.0276,1.0,0.9800455729166668,0.5756664830395299
10,0.013216381887532696,4,0,7,0.6404,0.3376,0.022,1.0,0.6908593749999999,0.41752583451704545
10,0.03160961670457758,3,0,5,0.6226,0.3332,0.0442,1.0,0.9349414062499999,0.47068705240885417
12,0.02434471082357454,4,2,9,0.7207,0.0451,0.2342,1.0,0.7695007324218751,0.650458984375
11,0.042148871345773706,4,1,5,0.9979,0.002,0.0001,1.275,0.7516978870738636,0.5495754436806684
11,0.048440050850992275,5,1,7,0.5781,0.0758,0.3461,1.0,0.7519708806818183,0.55
12,0.021369008775020657,4,1,6,0.0506,0.343,0.6063999999999999,1.0,0.9970479329427082,0.4980135599772136
10,0.017213755263908125,3,0,3,0.192,0.7132,0.0948,1.0,0.6155224609374998,0.45512939453124995
11,0.04732033139638605,4,1,3,0.2229,0.7716,0.005500000000000011,1.0,0.6888205788352272,0.3686688311688312
11,0.03743092269450173,2,1,2,0.225,0.7434,0.031600000000000114,1.725,0.5703835227272729,0.5730112953452796
11,0.032436196490479324,4,0,4,0.5038,0.0746,0.4216,1.2,0.919497958096591,0.48470383320958155
10,0.011424463466793678,2,1,6,0.7362,0.1947,0.0691,2.85,0.647705078125,0.519632568359375
11,0.027415941477424377,2,1,2,0.3937,0.0134,0.5929,1.3,0.7943359375,0.5859197443181818
12,0.04542847894007359,4,1,10,0.7299,0.0974,0.1727,1.0,0.6934733072916666,0.6064856465657552
11,0.02637449220633091,2,1,3,0.8725,0.1147,0.012800000000000011,8.4,0.8227272727272726,0.4767045454545455
10,0.024810648749380645,2,1,9,0.0331,0.4206,0.5463,5.125,0.7047607421875,0.5996712239583333
11,0.025381497267189378,1,0,5,0.322,0.6353,0.0427,9.3,0.7742542613636363,0.41645190746753247
11,0.014069500766513868,2,1,6,0.9094,0.0095,0.0811,7.1,0.800568181818182,0.5706214488636363
10,0.027481039883216568,2,1,6,0.0562,0.2695,0.6743,4.05,0.9268750000000001,0.4114375
11,0.020179042306465476,1,0,5,0.7397,0.2203,0.04,8.025,0.640909090909091,0.4552556818181818
12,0.01758562939793648,3,2,5,0.1806,0.3014,0.518,1.025,0.726971435546875,0.5004160563151042
11,0.0113967135513455,2,1,4,0.5876,0.1208,0.29159999999999997,1.55,1.0,0.5874999999999999
11,0.043582720739645656,3,1,9,0.3346,0.6242,0.04119999999999999,1.175,1.0,0.5454545454545454
11,0.036425080934724255,5,0,4,0.8249,0.0177,0.1574,1.0,0.974755859375,0.5335671164772728
11,0.0483998924252278,3,1,4,0.8398,0.0744,0.08580000000000002,2.575,1.0,0.6363636363636364
11,0.03846637936673844,1,1,1,0.4698,0.2787,0.2515,4.975,0.6528586647727274,0.2952947443181818
11,0.041141424652972505,5,0,9,0.4805,0.1755,0.3440000000000001,1.0,0.950439453125,0.5145609945288423
10,0.04674294795313847,2,0,5,0.9323,0.0654,0.0023,3.35,0.76630859375,0.43844628906250005
12,0.011915520439776481,2,0,6,0.3606,0.2357,0.4037,2.05,0.609283447265625,0.44140633477105035
11,0.016868530300592433,2,1,5,0.7874,0.1145,0.0981,1.575,0.6215775923295455,0.4804620916193182
11,0.025853535562612925,4,0,5,0.504,0.137,0.359,1.0,0.7191051136363636,0.5085337056742087
11,0.04867006141345938,4,1,7,0.3551,0.3313,0.3136,1.0,0.5472412109375,0.5538901589133524
11,0.01849577718147157,2,2,9,0.4876,0.1045,0.4079,3.375,1.0,0.54375
12,0.0394288449272303,4,1,3,0.2915,0.5467,0.1618,1.025,0.9414021809895834,0.552286031971807
10,0.03170272361706113,3,1,9,0.5768,0.0183,0.4049,1.0,0.9910839843750001,0.7914418247767857
11,0.02706853279296593,4,1,1,0.7329,0.2427,0.024399999999999988,1.0,0.9914972478693181,0.0954378995028409
10,0.03881028465242319,5,2,7,0.8424,0.0388,0.1188,1.0,1.0,0.4
12,0.02128122006297868,4,1,1,0.4239,0.0658,0.5103,1.0,0.8274658203125,0.573530748155382
11,0.011433876946894865,3,1,5,0.098,0.8527,0.0493,2.85,1.0,0.6318181818181818
11,0.04541485424696145,4,1,8,0.3208,0.1544,0.5248,1.0,0.6277099609375,0.6401147259168388
10,0.04356904646601638,3,2,5,0.1467,0.8054,0.0479,1.4,0.780625,0.43296875
10,0.04797693103968866,4,1,5,0.933,0.027,0.04,1.0,0.9891699218750001,0.40185791015624994
10,0.01959517397787367,3,0,4,0.6759,0.1653,0.1588,3.375,0.7185644531250001,0.48753173828125007
11,0.01773771937234477,1,0,4,0.1659,0.2294,0.6047,8.6,0.6451704545454545,0.455990323153409
11,0.03312586956054258,3,1,2,0.7939,0.1798,0.0263,2.875,0.955681818181818,0.5691051136363636
12,0.033423494279997884,4,0,1,0.983,0.0146,0.002400000000000111,1.0,0.8911102294921875,0.6543192545572916
11,0.04213339626995216,2,2,8,0.9026,0.0704,0.027,4.25,0.6218572443181818,0.6631842278814934
12,0.046326248478185,3,2,4,0.4684,0.3435,0.1881,1.075,1.0,0.6645833333333332
11,0.019074262416665065,5,1,2,0.0607,0.639,0.3003,1.0,0.8403719815340907,0.5621260209517045
11,0.02133597519375734,5,1,7,0.1006,0.3598,0.5396,1.0,0.9409002130681816,0.5663466944839015
11,0.021992135624662748,5,1,5,0.3981,0.1914,0.41050000000000003,1.0,0.508056640625,0.6298276034268465
12,0.022601485810223924,2,1,8,0.8132,0.0517,0.1351,1.975,0.816552734375,0.35400390625000006
11,0.03520095718432097,2,1,4,0.1982,0.1375,0.6643,5.25,0.6651899857954544,0.3554181463068181
10,0.03413002415752141,1,1,1,0.2494,0.1545,0.5961,4.4,1.0,0.495
11,0.0139873767415102,4,0,5,0.1051,0.6046,0.2903,1.0,0.49837757457386367,0.5257314095621883
11,0.017012967238890266,3,0,10,0.1067,0.8746,0.0187,1.0,0.7144797585227274,0.5600332512133048
12,0.027707360180649204,2,1,10,0.2292,0.6949,0.0759000000000001,1.85,0.6812286376953126,0.624549438014175
11,0.01909000969216578,2,1,8,0.6899,0.0662,0.2439,2.2,0.602605646306818,0.5700961766098486
11,0.043735448507445054,5,2,2,0.8233,0.03,0.14670000000000002,1.0,0.8801535866477274,0.5481449011600379
11,0.04422583377228183,3,0,4,0.8122,0.0512,0.1366,1.0,1.0,0.5365584415584415
12,0.03536550607540328,3,2,6,0.8349,0.1379,0.0272,1.025,0.994683837890625,0.33805541992187493
12,0.01896497380837337,2,1,2,0.5906,0.0801,0.3293,8.6,0.751708984375,0.47852213541666677
