N,p,n,k,lam,ratio_rob,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
10,0.041178740198422346,3,0,3.7517421015475394,0.5774829396447996,0.0006,0.5772,0.4221999999999998,2.35,0.9950341796875,0.49727625229779415
10,0.04258581213738506,3,2,1.678047012055547,0.6357809731042113,0.002,0.6345,0.3635,1.3,0.9997265625,0.5394134114583334
10,0.02233230386186929,3,1,4.072056592279257,0.841041949992289,0.0016,0.8397,0.1587,1.05,0.70587890625,0.29476053873697916
10,0.02806895596483025,3,1,4.505513271293665,0.5393905237368177,0.0015,0.5386,0.4599000000000001,1.025,0.989189453125,0.40141357421875
10,0.02842985359913411,3,1,0.1313505806264247,0.7179212758545889,0.0023,0.7163,0.2814,1.025,0.734716796875,0.32224618094308033
10,0.043103756094744594,3,0,1.6294846317436953,0.42417033385170505,0.0007,0.4239,0.5754,1.025,0.921630859375,0.40716308593750006
10,0.03705521197837299,3,2,4.281053878586371,0.27416681416691263,0.0039,0.2731,0.723,1.05,1.0,0.398125
10,0.0478060095577987,3,2,1.09407271522697,0.47749486770797206,0.005,0.4751,0.5199,1.0,0.777197265625,0.49212158203125
10,0.008287711471627768,3,0,4.8662461207315895,0.2991936567628429,0.0017,0.2987,0.6996,1.95,0.665322265625,0.6128011067708333
10,0.04804465331943835,3,2,4.475593743201766,0.030811776298801295,0.0008,0.0308,0.9684,1.0,0.9942578125000001,0.399169921875
10,0.0441471489319914,3,0,1.336560661340417,0.6470772742113347,0.0017,0.646,0.3523,1.2,0.6455957031249999,0.5637098524305555
10,0.014399722649294625,3,1,1.496876612117848,0.6754109798273311,0.0044,0.6725,0.3231,1.05,1.0,0.499
10,0.010917633465686328,3,0,2.036292230706959,0.08716171361790116,0.0029,0.0869,0.9102,1.0,0.9450830078125,0.4943798828125
10,0.0386851589509761,3,1,3.066510160506314,0.9186641841074614,0.0026,0.9162,0.0812,1.0,0.994697265625,0.30654296875
10,0.03717159176554192,3,1,3.420311578912862,0.5262337549174229,0.004,0.5241,0.4719,1.225,0.99208984375,0.4957275390625
10,0.04560565328188823,3,0,2.9459404583282978,0.5052669372293247,0.0032,0.5036,0.49319999999999997,1.025,0.9957910156249999,0.4984461263020833
10,6.289767514207623e-06,3,1,0.7341644164647947,0.3697796324714226,0.0039,0.3684,0.6277,1.0,0.64150390625,0.486796875
10,0.02282869734896712,3,1,0.5129961218147701,0.2573487795479819,0.0009,0.2571,0.742,1.0,0.989150390625,0.40080078124999996
10,0.022444697680223585,3,0,3.2712431902143235,0.6528359661798356,0.0023,0.6513,0.3464,1.0,0.9901953125,0.47983837890625003
10,0.039985425813755054,3,1,2.4523264610853515,0.7416330366417176,0.0032,0.7393,0.2575,1.025,0.991943359375,0.4992317708333333
10,0.021641090905605894,3,1,2.375774601849651,0.4344993419372158,0.0018,0.4337,0.5645,1.0,0.9932519531249999,0.5016605970594619
10,0.034287632173841114,3,2,1.9760759970779898,0.3019042428750507,0.0023,0.3012,0.6965,1.35,0.7790332031250001,0.5919921875
10,0.04519380060851608,3,0,3.3880296455817804,0.5016699689733672,0.0006,0.5014,0.498,1.425,0.8646191406250001,0.6311511761209239
10,0.03346686236660574,3,2,0.46333924977698027,0.5946755145880773,0.0036,0.5925,0.4039,1.1,0.9922656249999999,0.5602669270833334
10,0.007356926095450082,3,0,0.4028351453139842,0.8668122178019246,0.0012,0.8658,0.133,1.0,0.9881249999999999,0.436904296875
10,0.002380565361044622,3,1,3.400960657794856,0.659592108178015,0.0049,0.6563,0.3388,1.0,0.73458984375,0.59925537109375
10,0.030145928566960946,3,0,0.49547988862063386,0.3927539060779212,0.0004,0.3926,0.607,1.0,0.741943359375,0.5705453725961539
10,0.019039638056156605,3,2,4.731119922882262,0.8120166235666747,0.0029,0.8096,0.1875,1.025,0.8919335937499999,0.5016796875
10,0.02420166411366987,3,0,0.021153182514197122,0.03340583961993484,0.003,0.0333,0.9637,1.025,0.9915429687499999,0.694273154518821
10,0.03793006115400868,3,1,0.8097426902784477,0.22072639646520864,0.0012,0.2205,0.7783,1.225,1.0,0.495
10,0.03478804683294114,3,1,0.22256641533514454,0.79321864354774,0.0039,0.7901,0.206,1.125,0.9302294921875001,0.430615234375
10,0.01816882777607334,3,0,4.564604912417342,0.9291395659941613,0.0019,0.9273,0.07079999999999999,2.0,1.0,0.5995588235294118
10,0.03529211920993528,3,0,3.6040439664607145,0.11621115997371113,0.0035,0.1158,0.8807,1.0,0.972890625,0.49717476981026787
10,0.004375402304129153,3,0,1.0279019431978769,0.27051618973013936,0.0032,0.2697,0.7271,2.0,0.806689453125,0.5323385416666667
10,0.013946256540406139,3,0,4.516805254694435,0.34903386283394655,0.0046,0.3474,0.648,1.55,0.9511572265625,0.54289794921875
10,0.030530930948666726,3,2,2.8181242348757722,0.5693437896174649,0.0019,0.5683,0.4298,1.0,0.822578125,0.5460302734374999
10,0.015784052125500384,3,0,2.7107373722628103,0.75135879043552,0.0046,0.7479,0.2475,1.05,0.8026953125,0.6501530412946429
10,0.007298828557905335,3,2,2.183099015247518,0.24612930727631113,0.0024,0.2455,0.7521,1.925,0.98947265625,0.6950000000000001
10,0.026607720381330097,3,2,3.8345015412722723,0.6190978714985165,0.0029,0.6173,0.3798,1.05,0.9950976562499999,0.40310546875000003
10,0.040270726279049124,3,2,0.4774696778475327,0.43900497575832514,0.0005,0.4388,0.5607,1.0,0.8095703125,0.25417968750000003
10,0.04133729249415804,3,2,3.981941042983506,0.8209446502642818,0.0013,0.8199,0.1788000000000001,1.025,0.9937304687499999,0.20840332031250003
10,0.0336046264959675,3,0,2.0598458091469403,0.41668233398870713,0.0026,0.4156,0.5818,1.15,0.7428417968749998,0.50990625
10,0.04435692744574097,3,0,0.11343470086886243,0.6941366699923932,0.0044,0.6911,0.3045,1.125,0.506025390625,0.3769635416666667
10,0.04682076854355094,3,1,0.7945525367075699,0.7844898226054391,0.0044,0.781,0.2146,1.325,1.0,0.4
10,0.011636435368601941,3,0,4.866797201891069,0.19876335462723654,0.0011,0.1986,0.8003,2.075,0.581328125,0.5088071695963542
10,0.0062776145893572825,3,0,0.268846771407922,0.9437230733283466,0.0049,0.9391,0.056,1.0,0.979052734375,0.5353476562500001
10,0.0034040766928282937,3,1,1.3624616152057043,0.14451933160665575,0.0015,0.1443,0.8542,1.0,0.7136474609375,0.4700139160156251
10,0.020797962321686306,3,2,3.331242811189114,0.6719886948746798,0.0033,0.6698,0.3269,1.0,1.0,0.6925
10,0.027863282034273174,3,0,1.8462277825367621,0.03939887971151439,0.0003,0.0394,0.9603,1.05,0.715732421875,0.62828125
10,0.035704503549056486,3,1,1.2739311323330358,0.7574444643920659,0.0006,0.757,0.2424,1.15,0.9758105468750001,0.4997394670758929
10,0.031753437383928426,3,0,1.1951098623849954,0.22984762465684733,0.0011,0.2296,0.7693,1.675,0.989921875,0.46106328790838075
